id,name,age,grade,gender
0096,Douglas Henry,17,12,Male
0097,Michael Lewis,15,9,Male
0098,Patrick Grant,17,12,Male
0099,Ronald Olsen,17,12,Male
0100,Mr. Scott Harris,17,12,Male
0101,Christopher Murphy DVM,14,9,Male
0102,Laura Dean,17,12,Female
0103,Kelly Hess,15,9,Female
0104,Michelle Crawford,17,11,Female
0105,Virginia Ball,14,9,Female
0106,Megan Warner,18,12,Female
0107,Donald Vazquez,14,9,Male
0108,Christopher Weaver,18,12,Male
0109,Steven Moreno,16,11,Male
0110,Michaela Barber,15,10,Female
0111,Jennifer Potts,17,11,Female
0112,Ian Bond,16,10,Male
0113,Stephen Welch,18,12,Male
0114,Joseph Barrett,16,11,Male
0115,John Sanders,18,12,Male
0116,Stephanie Kim,15,10,Female
0117,Michael Rivera,16,11,Male
0118,Laura Boyle,15,9,Female
0119,Jeremy Lee,15,10,Male
0120,Jared Maldonado,15,9,Male
0121,Ryan York,16,11,Male
0122,James Mann,16,10,Male
0123,Heather Roberts,17,12,Female
0124,Anna White DDS,18,12,Female
0125,Jessica Alvarez,18,12,Female
0126,Terry Foster,18,12,Male
0127,Caitlin Andrews,18,12,Female
0128,Kayla French,14,9,Female
0129,Ricky Gray,14,9,Male
0130,Brianna Phelps,15,10,Female
0131,Rachel Olson,16,10,Female
0132,Dr. Anna Martin,17,12,Female
0133,Christopher Mays,17,11,Male
0134,Jasmine Morgan,17,12,Female
0135,Melissa Dunn,18,12,Female
0136,Max Taylor,16,11,Male
0137,Katie Lee,16,10,Female
0138,Jose Burgess,15,9,Male
0139,Veronica Chavez,18,12,Female
0140,Nathaniel Woods,16,10,Male
0141,Jeffrey Salinas,15,9,Male
0142,John Richardson,16,10,Male
0143,Alexis Williams,15,9,Female
0144,Carrie Holt,16,11,Female
0145,Alexis James,17,11,Female
0146,Jessica Gardner,18,12,Female
0147,Douglas Thomas,16,11,Male
0148,Michael Glenn,17,11,Male
0149,Nicole Holmes,15,9,Female
0150,James Smith,17,11,Male
0151,Mrs. Kristen Schmidt MD,17,11,Female
0152,Ryan Perry,15,9,Male
0153,Steven Reed,16,10,Male
0154,Robert Norton,18,12,Male
0155,Daniel Alvarez,14,9,Male
0156,Kevin Allen,16,11,Male
0157,Rebecca Mathews,15,10,Female
0158,Mark Ellis,17,12,Male
0159,Sara Vazquez,15,10,Female
0160,Erica Gill,17,11,Female
0161,Nicholas Wilcox,16,11,Male
0162,Nancy Wong,16,11,Female
0163,Timothy Foley,18,12,Male
0164,Rachael Barrett,16,11,Female
0165,Andrew Villa,14,9,Male
0166,Stephen Knight PhD,15,9,Male
0167,Joann Roberts,14,9,Female
0168,Bailey Lopez,16,11,Female
0169,Michelle Williams,15,9,Female
0170,Mark Lawrence,15,10,Male
0171,James Davis,16,10,Male
0172,Taylor Middleton,16,10,Female
0173,Dennis Elliott,18,12,Male
0174,Micheal Vargas,15,10,Male
0175,Andrew Bush,16,11,Male
0176,Marc Avila,17,11,Male
0177,Dominique Kelly,14,9,Female
0178,Jennifer Rogers,16,11,Female
0179,Jessica Stewart,17,12,Female
0180,Lauren Patterson,17,12,Female
0181,Toni Nunez,15,10,Female
0182,David Gibson,17,12,Male
0183,John Frazier,15,9,Male
0184,Nathaniel King,16,10,Male
0185,Heather Davis,16,10,Female
0186,Casey Wagner,18,12,Female
0187,Gabriella Hernandez,17,11,Female
0188,Harry George,15,10,Male
0189,Joel White PhD,14,9,Male
0190,Tara Edwards,17,11,Female
0191,Thomas Hernandez,17,12,Male
0192,Sarah Lee,14,9,Female
0193,Michael Osborn,15,10,Male
0194,Michelle Leon,15,10,Female
0195,Matthew Salinas,15,9,Male
0196,Brian Lee,14,9,Male
0197,Shannon Mason,16,11,Female
0198,Amanda Diaz,16,10,Female
0199,Misty Becker,17,11,Female
0200,Joseph Allen,18,12,Male
0201,Melissa Evans,16,10,Female
0202,Jeff Foster,14,9,Male
0203,Brenda Smith,15,10,Female
0204,Jamie Brooks,16,10,Female
0205,Heidi Anderson,15,9,Female
0206,Antonio Jones,15,10,Male
0207,Paula Durham,14,9,Female
0208,Jamie Adams,14,9,Female
0209,Katrina Hamilton,15,10,Female
0210,Ernest Hodges,17,12,Male
0211,Daniel Burns,18,12,Male
0212,Matthew Snow,14,9,Male
0213,Joshua Moran,16,10,Male
0214,David Smith,17,11,Male
0215,Amy Hensley,16,11,Female
0216,Peter Clark,15,9,Male
0217,Robin Grant,15,9,Female
0218,Stephanie Davila,15,9,Female
0219,Stephanie Ruiz,16,11,Female
0220,Emily Smith,17,12,Female
0221,Isabella Watts,18,12,Female
0222,Mario Smith,15,9,Male
0223,Richard Hester,17,11,Male
0224,Ryan Peterson,16,11,Male
0225,Theresa Mann MD,18,12,Female
0226,Makayla Cantu,14,9,Female
0227,Steven Sanders,16,11,Male
0228,James Nash,16,11,Male
0229,Denise Mccoy,16,10,Female
0230,Edward Andrews,17,11,Male
0231,David Crawford,16,11,Male
0232,Lisa Robinson,17,11,Female
0233,Pamela Williams,17,12,Female
0234,Oscar Moran,16,11,Male
0235,Adrienne Castro,15,10,Female
0236,Jennifer Lopez,17,11,Female
0237,Miranda Munoz,16,11,Female
0238,Gina Obrien,17,12,Female
0239,Stephen Smith,15,10,Male
0240,David Paul,16,11,Male
0241,John Hall,15,10,Male
0242,Mark Hill,15,10,Male
0243,Dr. Brian Ayers,16,10,Male
0244,Julia Greene,14,9,Female
0245,John Johnson,16,11,Male
0246,Robert Johnson,17,11,Male
0247,Levi Young,14,9,Male
0248,Daniel Campbell,18,12,Male
0249,Melvin Williams,16,10,Male
0250,Rhonda Tate,15,9,Female
0251,Karl Rowe,18,12,Male
0252,Misty Thompson,16,10,Female
0253,Leslie Black,17,11,Female
0254,Thomas Alexander,17,12,Male
0255,Angela Herrera,14,9,Female
0256,Karen Chen,17,12,Female
0257,Brianna Dickerson,14,9,Female
0258,Rodney Gonzalez,17,12,Male
0259,Julie Hayes,16,10,Female
0260,Heather Walker,16,11,Female
0261,Haley Obrien,15,10,Female
0262,Michael Mullins,14,9,Male
0263,Antonio Morgan,16,11,Male
0264,Virginia Hurley,18,12,Female
0265,Zachary Hampton,18,12,Male
0266,Richard Newman,14,9,Male
0267,Gary Wang,16,10,Male
0268,Kevin Matthews,17,12,Male
0269,Derek Jones,14,9,Male
0270,Jacob Anderson,16,10,Male
0271,Ashley Perez,17,11,Female
0272,Elizabeth Allen,15,10,Female
0273,Patrick Boyle,17,11,Male
0274,Kristi Williams,15,10,Female
0275,Eric Adams,14,9,Male
0276,Taylor Jones,15,10,Female
0277,Mary Stanley,16,11,Female
0278,David Ball,18,12,Male
0279,Michelle Peterson,16,10,Female
0280,Debbie Mcgee,17,12,Female
0281,Jessica Buck,17,12,Female
0282,Mr. David Cummings MD,14,9,Male
0283,Shawn Garrison,17,12,Male
0284,Shannon Parker,15,9,Female
0285,Nathan Bridges,17,12,Male
0286,Evan Barr,16,11,Male
0287,Brenda Marshall,15,9,Female
0288,Cynthia Ferguson,16,10,Female
0289,Michelle Gomez,15,9,Female
0290,Anthony Miller,16,11,Male
0291,Eric Burns,17,12,Male
0292,David Miller MD,17,12,Male
0293,Felicia Carr,14,9,Female
0294,Brandon Kennedy,16,10,Male
0295,Michael Gonzalez,16,11,Male
0296,Brandon James,16,10,Male
0297,William Roach,14,9,Male
0298,Brooke Anderson,18,12,Female
0299,Robert Richmond,17,12,Male
0300,Eric Shields,18,12,Male
0301,David Cox,16,10,Male
0302,Mr. David Harrington III,14,9,Male
0303,Denise Perez,18,12,Female
0304,Bruce Osborne,16,10,Male
0305,Eric Booker,16,10,Male
0306,Lisa Wood,15,9,Female
0307,Jennifer Hunter,18,12,Female
0308,Michael Watson,17,11,Male
0309,James Cooper,17,11,Male
0310,Raymond Martinez,16,11,Male
0311,Adam Peterson,15,10,Male
0312,Lori Payne,18,12,Female
0313,Stefanie Larson,15,10,Female
0314,Daniel King,17,11,Male
0315,Robert Aguirre,16,10,Male
0316,Larry Brennan,17,11,Male
0317,Stephen Wheeler,16,10,Male
0318,Jerry Foster,15,9,Male
0319,Kenneth Key,16,10,Male
0320,Keith Cox,17,12,Male
0321,Tyler Carson DDS,15,9,Male
0322,David Meyer,16,10,Male
0323,Charlene Garza,16,11,Female
0324,John Walker,14,9,Male
0325,Bill Terry,18,12,Male
0326,Ryan Sampson,17,12,Male
0327,Joseph Turner,16,10,Male
0328,Joseph Sharp,17,11,Male
0329,Carol Graves,14,9,Female
0330,Nicholas Perry,17,11,Male
0331,Philip Jones,15,9,Male
0332,Rebekah Soto,18,12,Female
0333,Kevin Wilson,17,11,Male
0334,Adam Callahan,15,10,Male
0335,Kimberly Collins,16,11,Female
0336,Laura Gonzales,17,12,Female
0337,Alicia Franco,16,10,Female
0338,Maurice Kennedy,16,10,Male
0339,Dominique Newman,18,12,Female
0340,Richard Rivera,18,12,Male
0341,Elizabeth Cruz,14,9,Female
0342,Jason Abbott,17,11,Male
0343,Christopher Garcia,18,12,Male
0344,Christina Barker,18,12,Female
0345,Sara Williams,17,11,Female
0346,Angelica Knapp,16,10,Female
0347,Grace Lee,18,12,Female
0348,Brandon Martinez,15,10,Male
0349,Eric Hoover,18,12,Male
0350,Dakota Stewart,18,12,Male
0351,Alexis Campbell,16,10,Male
0352,John York,15,9,Male
0353,Hannah Jones,17,11,Female
0354,Casey Whitehead,15,9,Male
0355,Steven Turner,14,9,Male
0356,Tammy Lozano,18,12,Female
0357,Kimberly Owen,17,11,Female
0358,Corey Perez,15,10,Male
0359,Daniel Cabrera,16,10,Male
0360,Mary Reed DVM,17,12,Female
0361,Margaret Mcclain,16,11,Female
0362,Amber Carrillo,17,11,Female
0363,Jessica Lopez,15,10,Female
0364,Beth Reid,16,10,Female
0365,Joseph Blake,18,12,Male
0366,Alexandria Glenn,16,10,Female
0367,Randy Arellano,16,11,Male
0368,Ryan Bentley,17,12,Male
0369,Bonnie Morse,18,12,Female
0370,Sandra Barnes,16,11,Female
0371,Jerry Powell,17,12,Male
0372,Frank Aguilar,15,9,Male
0373,Jessica Young,18,12,Female
0374,Jonathan Sanders,15,10,Male
0375,Susan Black,14,9,Female
0376,Paul Clark,15,9,Male
0377,Sharon Smith,17,11,Female
0378,Karen Herrera,17,11,Female
0379,John Hull,16,11,Male
0380,Caleb Holt,17,12,Male
0381,Tina Martin,17,12,Female
0382,Nina Leonard,18,12,Female
0383,Vanessa Bowen,14,9,Female
0384,Shirley Scott,16,11,Female
0385,Michael Collins,16,10,Male
0386,Patricia Rodgers,17,12,Female
0387,Christopher Lewis,14,9,Male
0388,Andrea Clayton,15,10,Female
0389,Jasmine Duncan,17,11,Female
0390,Kevin Sullivan,14,9,Male
0391,Katrina Hall,16,10,Female
0392,Jennifer Park,16,11,Female
0393,Julie Crane,15,9,Female
0394,Tiffany Campbell,18,12,Female
0395,James Walker,16,10,Male
0396,Joseph Gardner,14,9,Male
0397,Michael Fuller,16,10,Male
0398,Amy Delgado,15,9,Female
0399,Elizabeth Robinson,16,11,Female
0400,Sheila Sherman,16,10,Female
0401,Kayla Ramirez,16,11,Female
0402,Elizabeth Lopez,17,12,Female
0403,Joshua Deleon,17,12,Male
0404,Terrence Sharp,18,12,Male
0405,Kristy Gutierrez,16,11,Female
0406,Mark Barnett,15,9,Male
0407,Jennifer Gonzalez,15,9,Female
0408,Linda Lewis,18,12,Female
0409,Sydney Hodges,15,9,Female
0410,James Hernandez,15,10,Male
0411,Anna Shannon,17,11,Female
0412,Amy Davis,17,12,Female
0413,Christina Stone,18,12,Female
0414,Melissa Adams,17,12,Female
0415,Catherine Garcia,18,12,Female
0416,Angela Odonnell,15,10,Female
0417,Daniel Flynn,16,11,Male
0418,Lori Miller,17,11,Female
0419,Craig Lee,17,11,Male
0420,Teresa Rivas,17,11,Female
0421,Jacob Nelson,16,10,Male
0422,John Henry,18,12,Male
0423,Austin Mitchell,14,9,Male
0424,Christina Gamble,16,11,Female
0425,Michael Martinez,17,11,Male
0426,Mr. Scott Gregory,16,10,Male
0427,Daniel Powell,15,10,Male
0428,Tina Buchanan,17,11,Female
0429,Carrie Smith,15,9,Female
0430,Jane Powers,15,10,Female
0431,John Wilcox,18,12,Male
0432,Joy Clark,14,9,Female
0433,Benjamin Dean,17,11,Male
0434,Robert Watson,18,12,Male
0435,William Henderson DVM,14,9,Male
0436,Nicole Ryan,16,11,Female
0437,Nathan Lowery,17,11,Male
0438,Angela Alexander,18,12,Female
0439,Jonathan White,14,9,Male
0440,Stacy Anderson,17,12,Female
0441,Ashley Washington,14,9,Female
0442,Jennifer Simmons,15,9,Female
0443,Ryan Scott,15,10,Male
0444,Ian Mcdaniel,15,10,Male
0445,Lisa Lee,17,11,Female
0446,Lisa Landry,18,12,Female
0447,Richard Richardson,14,9,Male
0448,Michelle Sherman,18,12,Female
0449,Heather Jackson,15,10,Female
0450,Gina Mullen,15,9,Female
0451,Brian Mcguire,15,10,Male
0452,Michael Kidd,14,9,Male
0453,Megan Owens,15,9,Female
0454,Danielle Brown,15,9,Female
0455,Cassandra Jones,14,9,Female
0456,Erin Leblanc,16,10,Female
0457,Arthur Fry,18,12,Male
0458,Sandra Coffey,16,10,Female
0459,Robert Velazquez,15,9,Male
0460,Benjamin Wilson,16,11,Male
0461,William Smith,17,11,Male
0462,Michael Harrington,15,9,Male
0463,Jacqueline Greene,18,12,Female
0464,James Roberts,16,11,Male
0465,Shelly Hoffman,15,9,Female
0466,William Aguilar,16,11,Male
0467,Brian Zavala,15,10,Male
0468,Jennifer Boyle,18,12,Female
0469,Lisa Hubbard,16,11,Female
0470,Tracy Owens,14,9,Female
0471,Troy Bailey,15,10,Male
0472,Tonya Roy,18,12,Female
0473,Matthew Hoffman,16,11,Male
0474,David Mullins,17,11,Male
0475,Alec Golden,14,9,Male
0476,Bradley Rocha,18,12,Male
0477,Heather Khan,17,11,Female
0478,Heather Morales,15,9,Female
0479,Mrs. Darlene Olson,16,11,Female
0480,Traci Clark,14,9,Female
0481,Luke Camacho,16,10,Male
0482,Derek Schroeder,16,10,Male
0483,Judith Bowers,15,9,Female
0484,Brenda Johnson DDS,15,10,Female
0485,Mrs. Samantha Bowman,17,11,Female
0486,Robert Anderson,16,10,Male
0487,Megan Hughes,15,10,Female
0488,Adrian Smith,16,10,Male
0489,David Reed,17,11,Male
0490,Joseph Johnson,15,10,Male
0491,Diane Rogers,16,10,Female
0492,Sonya Calhoun,15,10,Female
0493,Lisa Lowery,18,12,Female
0494,Mark Delacruz,18,12,Male
0495,Nathan Schmidt,17,11,Male
0496,Isabella Pruitt,17,12,Female
0497,John Morgan,16,11,Male
0498,Denise Myers,16,11,Female
0499,Holly Vaughan,14,9,Female
0500,Sharon Norris,15,9,Female
0501,Tyler Hamilton,16,11,Male
0502,Nicole Dixon,18,12,Female
0503,Gwendolyn Campbell,15,10,Female
0504,Erica Ferguson DVM,16,11,Female
0505,Lindsey Pacheco,18,12,Female
0506,Patrick Johnson,15,9,Male
0507,Kristen Martin,17,12,Female
0508,Sarah Lamb,18,12,Female
0509,Rachael Reynolds,14,9,Female
0510,Robin Caldwell,18,12,Female
0511,Amanda Miller,15,9,Female
0512,Mark Lopez,14,9,Male
0513,Emma Wu,16,10,Female
0514,Patricia Wright,17,12,Female
0515,Michael Alvarez,15,9,Male
0516,Alexander Haynes,15,10,Male
0517,Michael Cooper,16,10,Male
0518,Andres Jackson,17,12,Male
0519,Jessica Prince,16,10,Female
0520,Michelle Hall,14,9,Female
0521,Emily Daniels,17,11,Female
0522,Joseph Lee,18,12,Male
0523,Alvin Fowler,17,11,Male
0524,Bobby Roach,17,12,Male
0525,Tara Rodriguez,16,10,Female
0526,Regina Murphy,16,11,Female
0527,Rachel Robinson,16,10,Female
0528,Jeffery Hickman,17,11,Male
0529,Kathryn Davis,15,10,Female
0530,Katelyn Martin,17,12,Female
0531,Cassidy Vasquez,17,12,Female
0532,Mr. Nicholas Barnett MD,16,11,Male
0533,Lori Gallegos,16,11,Female
0534,Michael Vance,18,12,Male
0535,Nicholas Berg,15,10,Male
0536,Brooke Barton,18,12,Female
0537,Vanessa Tran,17,11,Female
0538,Bryan Young,15,9,Male
0539,Sheri Jimenez,18,12,Female
0540,James Alvarez,14,9,Male
0541,William Olson,15,9,Male
0542,Jesse Keller,18,12,Male
0543,Shane Perry,15,9,Male
0544,Travis Blake,18,12,Male
0545,Rose Miller,18,12,Female
0546,Victor Pierce,14,9,Male
0547,Sarah Carroll,14,9,Female
0548,Breanna Martinez,16,11,Female
0549,Krista Frye,15,10,Female
0550,Darren Cooper,15,10,Male
0551,Brenda Price,15,9,Female
0552,Alexis Johnson,14,9,Female
0553,Angelica Mcdonald,18,12,Female
0554,Michael Bonilla,16,11,Male
0555,Kimberly Skinner,14,9,Female
0556,Nancy Thompson,16,10,Female
0557,Matthew Roberts,17,11,Male
0558,Tina Hernandez,18,12,Female
0559,Steven Terrell,17,11,Male
0560,Vincent Ramirez,17,11,Male
0561,Eric Collier,14,9,Male
0562,Jamie Hines,15,9,Female
0563,William Moss,14,9,Male
0564,Randy Campos,18,12,Male
0565,Belinda Miller,16,11,Female
0566,Jack Hoffman,15,10,Male
0567,Larry Perry,18,12,Male
0568,Amanda Burke,18,12,Female
0569,Alexander Gould,15,9,Male
0570,Michael Ray,17,11,Male
0571,Jimmy Arias,16,11,Male
0572,Aaron Jones,16,10,Male
0573,Amanda Blair,15,9,Female
0574,Ronald Brown,17,12,Male
0575,Andres Richards,15,10,Male
0576,Andrea Jones,16,10,Female
0577,James Jackson,14,9,Male
0578,Scott Smith,17,12,Male
0579,Victoria Smith,16,11,Female
0580,William Lloyd,17,12,Male
0581,Dr. Marco Woods,18,12,Male
0582,Sherri Davis,17,11,Female
0583,Richard Davis,15,9,Male
0584,Cynthia Baker,15,9,Female
0585,Jordan Chase,15,10,Female
0586,Brian Duncan,17,12,Male
0587,Angel Romero,17,12,Female
0588,Julie Bartlett,16,11,Female
0589,Taylor Koch,18,12,Male
0590,Kenneth Smith,17,12,Male
0591,James Guerrero,15,10,Male
0592,Danny Patton,16,10,Male
0593,Fernando Vargas,15,10,Male
0594,Douglas Fletcher,15,9,Male
0595,Courtney Roberts,18,12,Female
0596,Deborah Graham,17,11,Female
0597,Jennifer Miller DDS,15,9,Female
0598,Katherine Newman,16,10,Female
0599,Mrs. Joanna Harrell,14,9,Female
0600,Michael Long,15,10,Male
0601,Melissa Ellis,15,10,Female
0602,John Rich DVM,17,12,Male
0603,Joseph Boyd,14,9,Male
0604,Todd Berger,15,10,Male
0605,Michael Bryan,18,12,Male
0606,Paige Hill,18,12,Female
0607,Kayla Young,17,11,Female
0608,Nicholas Chen,15,9,Male
0609,Alan Clark,16,10,Male
0610,Christina Garcia,16,10,Female
0611,John Harrison,17,11,Male
0612,David Chambers,15,9,Male
0613,Mr. Randy Payne,17,12,Male
0614,Jason Hughes,18,12,Male
0615,Ryan Hernandez,17,12,Male
0616,Cassandra James,16,10,Female
0617,Connie Powers,17,11,Female
0618,Joshua Kim,15,10,Male
0619,Brian Jackson,18,12,Male
0620,Kyle Ford,18,12,Male
0621,Anthony Wright,15,9,Male
0622,Justin Lee,17,12,Male
0623,John Simpson,17,12,Male
0624,Alexander Perez,16,11,Male
0625,Joy Frey,17,12,Female
0626,Cynthia Dougherty,15,9,Female
0627,Ashley Kidd,16,11,Female
0628,George Young,18,12,Male
0629,Jonathan King,16,10,Male
0630,Kevin Barry,17,11,Male
0631,Theresa Carey,16,10,Female
0632,Shawn Lopez,15,9,Male
0633,Timothy Banks,17,11,Male
0634,Christian Madden,17,11,Male
0635,Lisa Rodriguez,14,9,Female
0636,Lisa Harmon,18,12,Female
0637,Amy Bridges,17,12,Female
0638,Jennifer Kelly,16,11,Female
0639,Rhonda Walker,15,9,Female
0640,Jacob Manning,14,9,Male
0641,Kimberly Carter,15,9,Female
0642,Dustin Morales,17,11,Male
0643,Lindsay Gonzalez,18,12,Female
0644,Brooke Delgado,16,11,Female
0645,William Gentry,15,9,Male
0646,Jamie Hudson DVM,15,9,Female
0647,Chris Welch,16,10,Male
0648,Tami Thomas,16,10,Female
0649,Christopher Heath,15,10,Male
0650,John Diaz,17,12,Male
0651,Peggy Torres,17,12,Female
0652,Rachael Hill,15,9,Female
0653,Robert Hensley,18,12,Male
0654,Michelle Lozano,17,12,Female
0655,Zachary Allen,18,12,Male
0656,Leroy Harris,14,9,Male
0657,Roger Frye,17,12,Male
0658,Emily Schneider,16,10,Female
0659,Kayla Brooks,16,11,Female
0660,Robert Tran,15,10,Male
0661,Travis Simmons,18,12,Male
0662,Betty Ward,17,11,Female
0663,Matthew Simmons,17,11,Male
0664,Eric Pratt,14,9,Male
0665,Samantha Brandt,15,9,Female
0666,Jeremy Wolfe,15,10,Male
0667,Brian Allen,16,10,Male
0668,Erika Pierce,14,9,Female
0669,Ryan Harris,14,9,Male
0670,Tiffany Cross,17,12,Female
0671,Catherine Torres,17,12,Female
0672,Ryan Shepherd,17,11,Male
0673,Ian Martinez,15,9,Male
0674,David Brown,17,11,Male
0675,Denise Ellis,15,9,Female
0676,Brenda Jones,17,11,Female
0677,Tyler Pope,17,11,Male
0678,Dr. Jasmine Smith,17,11,Female
0679,Matthew Harrison,16,10,Male
0680,Richard Mosley,15,9,Male
0681,Tara Porter,17,11,Female
0682,Michelle Burns,15,9,Female
0683,Michael Jones,18,12,Male
0684,Lauren Owen,17,12,Female
0685,Christopher Levine,18,12,Male
0686,Jessica Martinez,15,9,Female
0687,Jessica Durham,17,12,Female
0688,Kathleen Thomas DVM,15,9,Female
0689,Hannah Soto,18,12,Female
0690,Courtney Lewis,15,9,Female
0691,Cheryl Santiago,18,12,Female
0692,Victoria Taylor,17,12,Female
0693,Dawn Melton,17,11,Female
0694,Catherine Bush,16,10,Female
0695,Michelle Murray,18,12,Female
0696,Joshua Fisher,17,12,Male
0697,Mary Bailey,15,10,Female
0698,Blake Powell,17,11,Male
0699,John Barajas,17,11,Male
0700,Rebecca Rice,16,11,Female
0701,Kathryn Zhang,15,10,Female
0702,Cheryl Day PhD,17,11,Female
0703,Erik Williams,17,12,Male
0704,Travis Smith,16,11,Male
0705,Autumn Dawson,18,12,Female
0706,Patricia Kramer,14,9,Female
0707,Joseph Gonzalez,16,11,Male
0708,Samantha Anderson,17,12,Female
0709,Dustin Conway,17,11,Male
0710,Jeffrey Strickland,16,11,Male
0711,Rodney Martin,15,9,Male
0712,Garrett Nguyen,17,12,Male
0713,Vanessa Livingston,17,11,Female
0714,Dennis Brown,15,10,Male
0715,Wendy Collins,15,9,Female
0716,Theresa Shah,16,11,Female
0717,Dennis Gibbs,16,10,Male
0718,Scott Lewis,14,9,Male
0719,Drew Robinson,16,11,Male
0720,John Hurst,18,12,Male
0721,Seth Rose,16,11,Male
0722,Kim Novak,17,11,Female
0723,Angela Lewis,16,11,Female
0724,Pamela Berry,15,9,Female
0725,Tammy Vargas,16,10,Female
0726,Mariah Donaldson,15,9,Female
0727,Alex Wilson,14,9,Male
0728,Eduardo Clark,16,11,Male
0729,Robert Miller,15,10,Male
0730,Amanda Powell,15,10,Female
0731,Dawn Alexander,15,9,Female
0732,Bailey Martinez,14,9,Female
0733,Eric Arias,16,11,Male
0734,Jo Ramsey,17,11,Female
0735,Nathaniel Young,14,9,Male
0736,Daniel Jones PhD,14,9,Male
0737,Brenda Walker,18,12,Female
0738,Caleb Porter,14,9,Male
0739,Tonya Rivers,16,11,Female
0740,Teresa Mathews,16,10,Female
0741,John Gibbs,16,11,Male
0742,Anna Henry,16,10,Female
0743,Angela Lee,15,10,Female
0744,Thomas Clark,17,12,Male
0745,Jacob Meyer,15,10,Male
0746,Jeremy Haney,18,12,Male
0747,Daniel Fields,15,9,Male
0748,John Cruz,16,11,Male
0749,Vanessa Mcguire,14,9,Female
0750,Jamie Barker,17,12,Female
0751,Patricia Mcbride,16,10,Female
0752,Edward Reyes,17,12,Male
0753,Robert Edwards,14,9,Male
0754,Brenda Lopez,15,9,Female
0755,Mary Figueroa,17,12,Female
0756,Christine Blair,17,12,Female
0757,Danny Mcmillan,14,9,Male
0758,Michelle Anderson,16,11,Female
0759,John Hardy,14,9,Male
0760,Christopher Sullivan,14,9,Male
