,id,name,grade level,course,course score
143,0012,Andrew Green,9,English 1,91
144,0012,Andrew Green,9,Yearbook,79
145,0013,Christopher Smith,9,Geometry,70
146,0013,Christopher Smith,9,Biology,72
147,0013,Christopher Smith,9,World Geography,77
148,0013,Christopher Smith,9,English 1,81
149,0013,Christopher Smith,9,Cooking,97
150,0013,Christopher Smith,10,Algebra 2,70
151,0013,Christopher Smith,10,Chemistry,74
152,0013,Christopher Smith,10,World History,75
153,0013,Christopher Smith,10,English 2,82
154,0013,Christopher Smith,10,Physical Education,100
155,0014,Patricia Brooks,9,Geometry,99
156,0014,Patricia Brooks,9,Biology,87
157,0014,Patricia Brooks,9,World Geography,97
158,0014,Patricia Brooks,9,English 1,100
159,0014,Patricia Brooks,9,Computer Science,97
160,0015,Robert Jones,9,Geometry,92
161,0015,Robert Jones,9,Biology,75
162,0015,Robert Jones,9,World Geography,96
163,0015,Robert Jones,9,English 1,100
164,0015,Robert Jones,9,Music,97
165,0015,Robert Jones,10,Algebra 2,87
166,0015,Robert Jones,10,Chemistry,70
167,0015,Robert Jones,10,World History,99
168,0015,Robert Jones,10,English 2,100
169,0015,Robert Jones,10,Physical Education,94
170,0015,Robert Jones,11,Precalculus,87
171,0015,Robert Jones,11,Physics,74
172,0015,Robert Jones,11,American History,100
173,0015,Robert Jones,11,English 3,100
174,0015,Robert Jones,11,Physical Education,91
175,0015,Robert Jones,12,Calculus,88
176,0015,Robert Jones,12,Astronomy,72
177,0015,Robert Jones,12,American Government,100
178,0015,Robert Jones,12,English 4,100
179,0015,Robert Jones,12,Studio Art,95
180,0016,John Smith,9,Algebra 1,82
181,0016,John Smith,9,Biology,72
182,0016,John Smith,9,World Geography,82
183,0016,John Smith,9,English 1,70
184,0016,John Smith,9,Music,82
185,0016,John Smith,10,Geometry,82
186,0016,John Smith,10,Chemistry,76
187,0016,John Smith,10,World History,83
188,0016,John Smith,10,English 2,70
189,0016,John Smith,10,Computer Science,85
190,0017,Phillip Medina,9,Geometry,77
191,0017,Phillip Medina,9,Biology,85
192,0017,Phillip Medina,9,World Geography,87
193,0017,Phillip Medina,9,English 1,79
194,0017,Phillip Medina,9,Studio Art,77
195,0017,Phillip Medina,10,Algebra 2,76
196,0017,Phillip Medina,10,Chemistry,81
197,0017,Phillip Medina,10,World History,91
198,0017,Phillip Medina,10,English 2,75
199,0017,Phillip Medina,10,Physical Education,76
200,0017,Phillip Medina,11,Precalculus,73
201,0017,Phillip Medina,11,Physics,77
202,0017,Phillip Medina,11,American History,87
203,0017,Phillip Medina,11,English 3,73
204,0017,Phillip Medina,11,Studio Art,80
205,0017,Phillip Medina,12,Calculus,71
206,0017,Phillip Medina,12,Environmental Science,75
207,0017,Phillip Medina,12,American Government,89
208,0017,Phillip Medina,12,English 4,76
209,0017,Phillip Medina,12,Music,81
210,0018,Cody Beasley,9,Geometry,70
211,0018,Cody Beasley,9,Biology,82
212,0018,Cody Beasley,9,World Geography,95
213,0018,Cody Beasley,9,English 1,91
214,0018,Cody Beasley,9,Music,97
215,0018,Cody Beasley,10,Algebra 2,70
216,0018,Cody Beasley,10,Chemistry,79
217,0018,Cody Beasley,10,World History,90
218,0018,Cody Beasley,10,English 2,94
219,0018,Cody Beasley,10,Cooking,93
220,0018,Cody Beasley,11,Precalculus,70
221,0018,Cody Beasley,11,Physics,83
222,0018,Cody Beasley,11,American History,85
223,0018,Cody Beasley,11,English 3,91
224,0018,Cody Beasley,11,Cooking,93
225,0019,Carla Nelson,9,Geometry,82
226,0019,Carla Nelson,9,Biology,80
227,0019,Carla Nelson,9,World Geography,80
228,0019,Carla Nelson,9,English 1,86
229,0019,Carla Nelson,9,Computer Science,95
230,0019,Carla Nelson,10,Algebra 2,85
231,0019,Carla Nelson,10,Chemistry,79
232,0019,Carla Nelson,10,World History,81
233,0019,Carla Nelson,10,English 2,90
234,0019,Carla Nelson,10,Studio Art,93
235,0019,Carla Nelson,11,Precalculus,81
236,0019,Carla Nelson,11,Physics,76
237,0019,Carla Nelson,11,American History,78
238,0019,Carla Nelson,11,English 3,89
239,0019,Carla Nelson,11,Yearbook,89
240,0020,Jason Crawford,9,Algebra 1,81
241,0020,Jason Crawford,9,Biology,78
242,0020,Jason Crawford,9,World Geography,80
243,0020,Jason Crawford,9,English 1,86
244,0020,Jason Crawford,9,Cooking,88
245,0020,Jason Crawford,10,Geometry,86
246,0020,Jason Crawford,10,Chemistry,77
247,0020,Jason Crawford,10,World History,84
248,0020,Jason Crawford,10,English 2,85
249,0020,Jason Crawford,10,Computer Science,86
250,0020,Jason Crawford,11,Algebra 2,91
251,0020,Jason Crawford,11,Physics,76
252,0020,Jason Crawford,11,American History,83
253,0020,Jason Crawford,11,English 3,87
254,0020,Jason Crawford,11,Yearbook,82
255,0021,Craig Saunders,9,Algebra 1,75
256,0021,Craig Saunders,9,Biology,94
257,0021,Craig Saunders,9,World Geography,100
258,0021,Craig Saunders,9,English 1,82
259,0021,Craig Saunders,9,Cooking,76
260,0021,Craig Saunders,10,Geometry,71
261,0021,Craig Saunders,10,Chemistry,91
262,0021,Craig Saunders,10,World History,95
263,0021,Craig Saunders,10,English 2,84
264,0021,Craig Saunders,10,Yearbook,75
265,0022,Julian Hoffman,9,Geometry,72
266,0022,Julian Hoffman,9,Biology,95
267,0022,Julian Hoffman,9,World Geography,98
268,0022,Julian Hoffman,9,English 1,90
269,0022,Julian Hoffman,9,Cooking,82
270,0022,Julian Hoffman,10,Algebra 2,76
271,0022,Julian Hoffman,10,Chemistry,99
272,0022,Julian Hoffman,10,World History,100
273,0022,Julian Hoffman,10,English 2,90
274,0022,Julian Hoffman,10,Yearbook,82
275,0022,Julian Hoffman,11,Precalculus,74
276,0022,Julian Hoffman,11,Physics,95
277,0022,Julian Hoffman,11,American History,99
278,0022,Julian Hoffman,11,English 3,90
279,0022,Julian Hoffman,11,Studio Art,86
280,0022,Julian Hoffman,12,Calculus,74
281,0022,Julian Hoffman,12,Astronomy,96
282,0022,Julian Hoffman,12,American Government,99
283,0022,Julian Hoffman,12,English 4,86
284,0022,Julian Hoffman,12,Studio Art,84
285,0023,Mrs. Diana Kelly MD,9,Algebra 1,100
286,0023,Mrs. Diana Kelly MD,9,Biology,76
287,0023,Mrs. Diana Kelly MD,9,World Geography,72
288,0023,Mrs. Diana Kelly MD,9,English 1,85
289,0023,Mrs. Diana Kelly MD,9,Computer Science,95
290,0023,Mrs. Diana Kelly MD,10,Geometry,100
291,0023,Mrs. Diana Kelly MD,10,Chemistry,80
292,0023,Mrs. Diana Kelly MD,10,World History,70
293,0023,Mrs. Diana Kelly MD,10,English 2,88
294,0023,Mrs. Diana Kelly MD,10,Studio Art,92
295,0023,Mrs. Diana Kelly MD,11,Algebra 2,100
296,0023,Mrs. Diana Kelly MD,11,Physics,81
297,0023,Mrs. Diana Kelly MD,11,American History,70
298,0023,Mrs. Diana Kelly MD,11,English 3,90
299,0023,Mrs. Diana Kelly MD,11,Computer Science,97
300,0023,Mrs. Diana Kelly MD,12,Precalculus,100
301,0023,Mrs. Diana Kelly MD,12,Anatomy,77
302,0023,Mrs. Diana Kelly MD,12,American Government,71
303,0023,Mrs. Diana Kelly MD,12,English 4,89
304,0023,Mrs. Diana Kelly MD,12,Physical Education,95
305,0024,Aaron Hendrix,9,Algebra 1,99
306,0024,Aaron Hendrix,9,Biology,75
307,0024,Aaron Hendrix,9,World Geography,76
308,0024,Aaron Hendrix,9,English 1,89
309,0024,Aaron Hendrix,9,Cooking,98
310,0024,Aaron Hendrix,10,Geometry,100
311,0024,Aaron Hendrix,10,Chemistry,74
312,0024,Aaron Hendrix,10,World History,81
313,0024,Aaron Hendrix,10,English 2,90
314,0024,Aaron Hendrix,10,Physical Education,99
315,0024,Aaron Hendrix,11,Algebra 2,95
316,0024,Aaron Hendrix,11,Physics,77
317,0024,Aaron Hendrix,11,American History,84
318,0024,Aaron Hendrix,11,English 3,85
319,0024,Aaron Hendrix,11,Studio Art,100
320,0025,Kenneth Hill,9,Algebra 1,89
321,0025,Kenneth Hill,9,Biology,95
322,0025,Kenneth Hill,9,World Geography,74
323,0025,Kenneth Hill,9,English 1,70
324,0025,Kenneth Hill,9,Music,100
325,0025,Kenneth Hill,10,Geometry,94
326,0025,Kenneth Hill,10,Chemistry,92
327,0025,Kenneth Hill,10,World History,75
328,0025,Kenneth Hill,10,English 2,70
329,0025,Kenneth Hill,10,Music,100
330,0025,Kenneth Hill,11,Algebra 2,89
331,0025,Kenneth Hill,11,Physics,94
332,0025,Kenneth Hill,11,American History,79
333,0025,Kenneth Hill,11,English 3,70
334,0025,Kenneth Hill,11,Music,100
335,0026,Sara Williams,9,Geometry,74
336,0026,Sara Williams,9,Biology,82
337,0026,Sara Williams,9,World Geography,96
338,0026,Sara Williams,9,English 1,74
339,0026,Sara Williams,9,Physical Education,70
340,0026,Sara Williams,10,Algebra 2,78
341,0026,Sara Williams,10,Chemistry,78
342,0026,Sara Williams,10,World History,92
343,0026,Sara Williams,10,English 2,72
344,0026,Sara Williams,10,Music,75
345,0027,Jimmy Davidson,9,Algebra 1,73
346,0027,Jimmy Davidson,9,Biology,95
347,0027,Jimmy Davidson,9,World Geography,98
348,0027,Jimmy Davidson,9,English 1,74
349,0027,Jimmy Davidson,9,Computer Science,94
350,0027,Jimmy Davidson,10,Geometry,72
351,0027,Jimmy Davidson,10,Chemistry,94
352,0027,Jimmy Davidson,10,World History,100
353,0027,Jimmy Davidson,10,English 2,71
354,0027,Jimmy Davidson,10,Studio Art,91
355,0027,Jimmy Davidson,11,Algebra 2,75
356,0027,Jimmy Davidson,11,Physics,99
357,0027,Jimmy Davidson,11,American History,95
358,0027,Jimmy Davidson,11,English 3,75
359,0027,Jimmy Davidson,11,Physical Education,87
360,0028,Wanda Thornton,9,Geometry,80
361,0028,Wanda Thornton,9,Biology,86
362,0028,Wanda Thornton,9,World Geography,80
363,0028,Wanda Thornton,9,English 1,94
364,0028,Wanda Thornton,9,Computer Science,98
365,0028,Wanda Thornton,10,Algebra 2,84
366,0028,Wanda Thornton,10,Chemistry,82
367,0028,Wanda Thornton,10,World History,79
368,0028,Wanda Thornton,10,English 2,89
369,0028,Wanda Thornton,10,Music,97
370,0028,Wanda Thornton,11,Precalculus,84
371,0028,Wanda Thornton,11,Physics,82
372,0028,Wanda Thornton,11,American History,75
373,0028,Wanda Thornton,11,English 3,85
374,0028,Wanda Thornton,11,Physical Education,95
375,0028,Wanda Thornton,12,Calculus,85
376,0028,Wanda Thornton,12,Environmental Science,79
377,0028,Wanda Thornton,12,American Government,74
378,0028,Wanda Thornton,12,English 4,83
379,0028,Wanda Thornton,12,Physical Education,93
380,0029,William Bishop,9,Algebra 1,82
381,0029,William Bishop,9,Biology,71
382,0029,William Bishop,9,World Geography,70
383,0029,William Bishop,9,English 1,84
384,0029,William Bishop,9,Yearbook,94
385,0029,William Bishop,10,Geometry,84
386,0029,William Bishop,10,Chemistry,70
387,0029,William Bishop,10,World History,70
388,0029,William Bishop,10,English 2,84
389,0029,William Bishop,10,Studio Art,99
390,0029,William Bishop,11,Algebra 2,85
391,0029,William Bishop,11,Physics,70
392,0029,William Bishop,11,American History,72
393,0029,William Bishop,11,English 3,82
394,0029,William Bishop,11,Studio Art,100
395,0029,William Bishop,12,Precalculus,87
396,0029,William Bishop,12,Environmental Science,74
397,0029,William Bishop,12,Economics,73
398,0029,William Bishop,12,English 4,79
399,0029,William Bishop,12,Studio Art,100
400,0030,Cynthia Oliver,9,Algebra 1,95
401,0030,Cynthia Oliver,9,Biology,87
402,0030,Cynthia Oliver,9,World Geography,74
403,0030,Cynthia Oliver,9,English 1,82
404,0030,Cynthia Oliver,9,Yearbook,97
405,0031,Julie Montgomery,9,Algebra 1,99
406,0031,Julie Montgomery,9,Biology,82
407,0031,Julie Montgomery,9,World Geography,92
408,0031,Julie Montgomery,9,English 1,77
409,0031,Julie Montgomery,9,Yearbook,100
410,0031,Julie Montgomery,10,Geometry,100
411,0031,Julie Montgomery,10,Chemistry,84
412,0031,Julie Montgomery,10,World History,92
413,0031,Julie Montgomery,10,English 2,76
414,0031,Julie Montgomery,10,Studio Art,99
415,0031,Julie Montgomery,11,Algebra 2,100
416,0031,Julie Montgomery,11,Physics,84
417,0031,Julie Montgomery,11,American History,88
418,0031,Julie Montgomery,11,English 3,74
419,0031,Julie Montgomery,11,Studio Art,96
420,0031,Julie Montgomery,12,Precalculus,99
421,0031,Julie Montgomery,12,Astronomy,86
422,0031,Julie Montgomery,12,Economics,92
423,0031,Julie Montgomery,12,English 4,77
424,0031,Julie Montgomery,12,Cooking,91
425,0032,Stephanie Henderson,9,Algebra 1,85
426,0032,Stephanie Henderson,9,Biology,94
427,0032,Stephanie Henderson,9,World Geography,87
428,0032,Stephanie Henderson,9,English 1,75
429,0032,Stephanie Henderson,9,Computer Science,92
430,0032,Stephanie Henderson,10,Geometry,80
431,0032,Stephanie Henderson,10,Chemistry,91
432,0032,Stephanie Henderson,10,World History,92
433,0032,Stephanie Henderson,10,English 2,73
434,0032,Stephanie Henderson,10,Studio Art,97
435,0032,Stephanie Henderson,11,Algebra 2,80
436,0032,Stephanie Henderson,11,Physics,96
437,0032,Stephanie Henderson,11,American History,91
438,0032,Stephanie Henderson,11,English 3,78
439,0032,Stephanie Henderson,11,Computer Science,92
440,0032,Stephanie Henderson,12,Precalculus,84
441,0032,Stephanie Henderson,12,Astronomy,97
442,0032,Stephanie Henderson,12,American Government,92
443,0032,Stephanie Henderson,12,English 4,76
444,0032,Stephanie Henderson,12,Computer Science,90
445,0033,Christopher Figueroa,9,Algebra 1,75
446,0033,Christopher Figueroa,9,Biology,94
447,0033,Christopher Figueroa,9,World Geography,92
448,0033,Christopher Figueroa,9,English 1,72
449,0033,Christopher Figueroa,9,Yearbook,78
450,0033,Christopher Figueroa,10,Geometry,76
451,0033,Christopher Figueroa,10,Chemistry,93
452,0033,Christopher Figueroa,10,World History,88
453,0033,Christopher Figueroa,10,English 2,72
454,0033,Christopher Figueroa,10,Computer Science,75
455,0033,Christopher Figueroa,11,Algebra 2,74
456,0033,Christopher Figueroa,11,Physics,93
457,0033,Christopher Figueroa,11,American History,90
458,0033,Christopher Figueroa,11,English 3,74
459,0033,Christopher Figueroa,11,Physical Education,78
460,0034,Eric Hernandez,9,Geometry,84
461,0034,Eric Hernandez,9,Biology,74
462,0034,Eric Hernandez,9,World Geography,99
463,0034,Eric Hernandez,9,English 1,79
464,0034,Eric Hernandez,9,Physical Education,100
465,0034,Eric Hernandez,10,Algebra 2,82
466,0034,Eric Hernandez,10,Chemistry,78
467,0034,Eric Hernandez,10,World History,100
468,0034,Eric Hernandez,10,English 2,80
469,0034,Eric Hernandez,10,Computer Science,100
470,0034,Eric Hernandez,11,Precalculus,85
471,0034,Eric Hernandez,11,Physics,73
472,0034,Eric Hernandez,11,American History,100
473,0034,Eric Hernandez,11,English 3,80
474,0034,Eric Hernandez,11,Music,100
475,0034,Eric Hernandez,12,Calculus,83
476,0034,Eric Hernandez,12,Anatomy,70
477,0034,Eric Hernandez,12,Economics,95
478,0034,Eric Hernandez,12,English 4,78
479,0034,Eric Hernandez,12,Yearbook,100
480,0035,Amy Jennings,9,Geometry,99
481,0035,Amy Jennings,9,Biology,88
482,0035,Amy Jennings,9,World Geography,77
483,0035,Amy Jennings,9,English 1,83
484,0035,Amy Jennings,9,Physical Education,70
485,0036,Sandra Larson,9,Geometry,92
486,0036,Sandra Larson,9,Biology,81
487,0036,Sandra Larson,9,World Geography,97
488,0036,Sandra Larson,9,English 1,91
489,0036,Sandra Larson,9,Physical Education,87
490,0036,Sandra Larson,10,Algebra 2,96
491,0036,Sandra Larson,10,Chemistry,76
492,0036,Sandra Larson,10,World History,97
493,0036,Sandra Larson,10,English 2,90
494,0036,Sandra Larson,10,Music,91
495,0036,Sandra Larson,11,Precalculus,100
496,0036,Sandra Larson,11,Physics,73
497,0036,Sandra Larson,11,American History,93
498,0036,Sandra Larson,11,English 3,86
499,0036,Sandra Larson,11,Yearbook,93
500,0036,Sandra Larson,12,Calculus,97
501,0036,Sandra Larson,12,Astronomy,70
502,0036,Sandra Larson,12,American Government,95
503,0036,Sandra Larson,12,English 4,90
504,0036,Sandra Larson,12,Music,89
505,0037,Deborah Price,9,Geometry,79
506,0037,Deborah Price,9,Biology,78
507,0037,Deborah Price,9,World Geography,82
508,0037,Deborah Price,9,English 1,84
509,0037,Deborah Price,9,Cooking,93
510,0037,Deborah Price,10,Algebra 2,79
511,0037,Deborah Price,10,Chemistry,81
512,0037,Deborah Price,10,World History,85
513,0037,Deborah Price,10,English 2,81
514,0037,Deborah Price,10,Music,91
515,0037,Deborah Price,11,Precalculus,84
516,0037,Deborah Price,11,Physics,84
517,0037,Deborah Price,11,American History,82
518,0037,Deborah Price,11,English 3,82
519,0037,Deborah Price,11,Studio Art,95
520,0038,Sarah Hoffman,9,Geometry,92
521,0038,Sarah Hoffman,9,Biology,87
522,0038,Sarah Hoffman,9,World Geography,78
523,0038,Sarah Hoffman,9,English 1,79
524,0038,Sarah Hoffman,9,Cooking,91
525,0039,Vincent Perez,9,Geometry,82
526,0039,Vincent Perez,9,Biology,95
527,0039,Vincent Perez,9,World Geography,92
528,0039,Vincent Perez,9,English 1,91
529,0039,Vincent Perez,9,Studio Art,70
530,0039,Vincent Perez,10,Algebra 2,86
531,0039,Vincent Perez,10,Chemistry,96
532,0039,Vincent Perez,10,World History,91
533,0039,Vincent Perez,10,English 2,92
534,0039,Vincent Perez,10,Physical Education,75
535,0039,Vincent Perez,11,Precalculus,91
536,0039,Vincent Perez,11,Physics,98
537,0039,Vincent Perez,11,American History,94
538,0039,Vincent Perez,11,English 3,92
539,0039,Vincent Perez,11,Yearbook,73
540,0039,Vincent Perez,12,Calculus,94
541,0039,Vincent Perez,12,Environmental Science,100
542,0039,Vincent Perez,12,American Government,91
543,0039,Vincent Perez,12,English 4,96
544,0039,Vincent Perez,12,Studio Art,78
545,0040,Melissa Harrison,9,Algebra 1,90
546,0040,Melissa Harrison,9,Biology,90
547,0040,Melissa Harrison,9,World Geography,99
548,0040,Melissa Harrison,9,English 1,89
549,0040,Melissa Harrison,9,Yearbook,97
550,0040,Melissa Harrison,10,Geometry,87
551,0040,Melissa Harrison,10,Chemistry,89
552,0040,Melissa Harrison,10,World History,96
553,0040,Melissa Harrison,10,English 2,90
554,0040,Melissa Harrison,10,Physical Education,100
555,0041,Audrey Ross,9,Algebra 1,73
556,0041,Audrey Ross,9,Biology,89
557,0041,Audrey Ross,9,World Geography,73
558,0041,Audrey Ross,9,English 1,76
559,0041,Audrey Ross,9,Computer Science,78
560,0042,Antonio Bush,9,Geometry,89
561,0042,Antonio Bush,9,Biology,73
562,0042,Antonio Bush,9,World Geography,78
563,0042,Antonio Bush,9,English 1,92
564,0042,Antonio Bush,9,Yearbook,73
565,0043,Gregory Swanson,9,Geometry,78
566,0043,Gregory Swanson,9,Biology,98
567,0043,Gregory Swanson,9,World Geography,97
568,0043,Gregory Swanson,9,English 1,91
569,0043,Gregory Swanson,9,Cooking,94
570,0043,Gregory Swanson,10,Algebra 2,78
571,0043,Gregory Swanson,10,Chemistry,100
572,0043,Gregory Swanson,10,World History,100
573,0043,Gregory Swanson,10,English 2,87
574,0043,Gregory Swanson,10,Studio Art,95
575,0044,Lori Collins,9,Algebra 1,70
576,0044,Lori Collins,9,Biology,87
577,0044,Lori Collins,9,World Geography,88
578,0044,Lori Collins,9,English 1,70
579,0044,Lori Collins,9,Studio Art,98
580,0044,Lori Collins,10,Geometry,73
581,0044,Lori Collins,10,Chemistry,90
582,0044,Lori Collins,10,World History,83
583,0044,Lori Collins,10,English 2,73
584,0044,Lori Collins,10,Cooking,97
585,0044,Lori Collins,11,Algebra 2,72
586,0044,Lori Collins,11,Physics,95
587,0044,Lori Collins,11,American History,88
588,0044,Lori Collins,11,English 3,70
589,0044,Lori Collins,11,Music,95
590,0044,Lori Collins,12,Precalculus,73
591,0044,Lori Collins,12,Astronomy,92
592,0044,Lori Collins,12,Economics,92
593,0044,Lori Collins,12,English 4,70
594,0044,Lori Collins,12,Cooking,97
595,0045,Kenneth Murray,9,Algebra 1,100
596,0045,Kenneth Murray,9,Biology,74
597,0045,Kenneth Murray,9,World Geography,88
598,0045,Kenneth Murray,9,English 1,99
599,0045,Kenneth Murray,9,Music,85
600,0045,Kenneth Murray,10,Geometry,100
601,0045,Kenneth Murray,10,Chemistry,79
602,0045,Kenneth Murray,10,World History,86
603,0045,Kenneth Murray,10,English 2,99
604,0045,Kenneth Murray,10,Computer Science,82
605,0046,Paul Barber,9,Geometry,79
606,0046,Paul Barber,9,Biology,97
607,0046,Paul Barber,9,World Geography,96
608,0046,Paul Barber,9,English 1,100
609,0046,Paul Barber,9,Computer Science,87
610,0046,Paul Barber,10,Algebra 2,74
611,0046,Paul Barber,10,Chemistry,92
612,0046,Paul Barber,10,World History,98
613,0046,Paul Barber,10,English 2,100
614,0046,Paul Barber,10,Music,82
615,0046,Paul Barber,11,Precalculus,79
616,0046,Paul Barber,11,Physics,95
617,0046,Paul Barber,11,American History,95
618,0046,Paul Barber,11,English 3,100
619,0046,Paul Barber,11,Physical Education,79
620,0047,Jeffrey Haynes,9,Geometry,86
621,0047,Jeffrey Haynes,9,Biology,93
622,0047,Jeffrey Haynes,9,World Geography,85
623,0047,Jeffrey Haynes,9,English 1,95
624,0047,Jeffrey Haynes,9,Music,81
625,0047,Jeffrey Haynes,10,Algebra 2,86
